,host_listings_count,longitude,beds,host_neighbourhood_is_na,summary_is_na,license_is_na,property_type_other,"host_verifications_['email', 'phone']",room_type_Private room,price
191,1.0,13.396630867108636,1.0,False,False,True,0,0,1,35.0
192,1.0,13.439570233694422,1.0,False,False,True,0,1,1,35.0
193,1.0,13.41863487900009,4.0,False,False,True,0,0,0,130.0
194,1.0,13.280797954124802,1.0,False,False,True,0,0,1,24.0
195,2.0,13.424730865875533,1.0,False,False,True,0,0,0,65.0
196,19.0,13.42813186090468,1.0,False,False,True,0,0,1,39.0
197,1.0,13.424926224869203,1.0,False,False,True,0,0,1,31.0
198,1.0,13.44953955186159,1.0,False,False,True,0,0,1,39.0
199,1.0,13.420954114589255,1.0,False,False,True,0,0,0,65.0
200,1.0,13.434070690509445,1.0,False,False,True,0,0,1,25.0
201,3.0,13.399382813542886,9.0,False,False,True,0,0,0,95.0
202,1.0,13.390474471052439,2.0,False,False,True,0,0,0,90.0
203,1.0,13.437662654613476,1.0,False,False,True,0,1,0,48.0
204,26.0,13.378637101856597,2.0,False,False,True,1,0,0,79.0
205,1.0,13.425265065093615,1.0,False,False,True,0,0,1,180.0
206,2.0,13.443657239571971,2.0,False,False,True,0,0,1,29.0
207,1.0,13.381629350828954,1.0,True,False,True,0,0,1,35.0
208,1.0,13.508581477549837,1.0,False,True,True,0,1,0,65.0
209,3.0,13.424485916592605,1.0,False,False,True,0,0,1,40.0
210,1.0,13.418724397621473,2.0,False,False,True,0,0,0,111.0
211,2.0,13.342229809303602,1.0,False,False,True,0,0,1,39.0
212,1.0,13.32232360892468,1.0,False,False,True,0,0,1,24.0
213,1.0,13.435380259552062,1.0,True,False,True,0,1,0,50.0
214,2.0,13.466280898739742,1.0,False,False,True,0,0,1,50.0
215,1.0,13.302646529447589,4.0,False,False,True,0,0,0,40.0
216,1.0,13.42392630079519,1.0,False,False,True,0,0,1,30.0
217,1.0,13.421389721126944,1.0,True,False,True,0,0,0,60.0
218,1.0,13.38130630037398,1.0,False,False,True,0,1,1,40.0
219,1.0,13.448321676442704,1.0,False,False,True,0,0,0,120.0
220,1.0,13.416843073665754,1.0,False,False,True,0,0,1,55.0
221,1.0,13.42193349254864,1.0,True,False,True,0,0,0,43.0
222,1.0,13.399847813367865,1.0,False,False,True,0,0,0,60.0
223,3.0,13.451454441985106,2.0,True,False,True,0,0,0,500.0
224,1.0,13.295723565639634,2.0,False,False,True,0,0,0,80.0
225,1.0,13.349712222608533,2.0,False,False,True,0,0,0,94.0
226,1.0,13.443481063738089,2.0,True,False,True,0,0,1,25.0
227,1.0,13.439679294829846,1.0,True,False,True,0,0,1,50.0
228,1.0,13.401171706491427,1.0,False,False,True,0,0,0,45.0
229,1.0,13.33754216346058,2.0,False,False,True,1,0,1,55.0
230,1.0,13.342083039077096,1.0,False,False,True,0,0,1,30.0
231,29.0,13.450959598274412,2.0,False,False,True,0,0,0,60.0
232,1.0,13.410139657176847,1.0,False,False,True,0,0,1,28.0
233,1.0,13.422947028962293,1.0,True,False,True,0,0,1,45.0
234,1.0,13.429000138582387,1.0,True,False,True,0,0,1,39.0
235,2.0,13.41532399731778,2.0,False,False,True,0,0,0,60.0
236,1.0,13.36079717929777,1.0,True,False,False,0,0,1,48.0
237,1.0,13.400966767683153,3.0,True,False,False,0,0,0,149.0
238,1.0,13.385302858859587,1.0,False,False,True,0,0,1,27.0
239,1.0,13.409592078871784,1.0,True,False,True,0,0,1,25.0
240,1.0,13.46725488313406,1.0,False,False,True,0,0,1,15.0
241,1.0,13.419565819803038,6.0,False,False,True,0,0,0,189.0
242,1.0,13.341600747940069,1.0,False,False,True,0,0,1,49.0
243,1.0,13.303199067126846,1.0,True,False,True,0,0,0,20.0
244,1.0,13.490536434846135,1.0,False,True,True,0,0,1,29.0
245,1.0,13.423355245415573,1.0,False,False,True,0,0,1,45.0
246,2.0,13.446343583995477,1.0,False,False,True,0,0,1,30.0
247,1.0,13.609004924144793,4.0,False,False,False,1,1,0,80.0
248,1.0,13.316955034995624,1.0,True,False,True,0,0,1,30.0
249,1.0,13.424587213763992,2.0,True,False,True,0,0,0,90.0
250,1.0,13.397353812358643,1.0,True,False,True,0,0,1,40.0
251,1.0,13.41675649866359,1.0,True,False,True,0,0,1,35.0
252,1.0,13.492895276270126,1.0,True,False,True,0,0,1,32.0
253,4.0,13.448969908843178,1.0,False,False,True,0,0,0,79.0
254,1.0,13.417161858374099,1.0,False,False,True,0,0,1,22.0
255,1.0,13.502262254259335,1.0,False,False,True,0,0,1,20.0
256,2.0,13.415585886441223,1.0,False,False,True,0,0,1,30.0
257,1.0,13.444448556507218,1.0,True,False,True,0,0,1,35.0
258,1.0,13.31555218671793,1.0,False,False,True,0,1,1,20.0
259,1.0,13.427458213951704,1.0,False,False,True,0,0,0,45.0
260,1.0,13.43394035610632,1.0,False,False,True,0,0,0,43.0
261,12.0,13.418163801947207,6.0,False,False,True,0,0,0,140.0
262,9.0,13.546845460077954,3.0,False,True,True,0,0,0,60.0
263,2.0,13.380026377960265,1.0,False,False,True,0,0,1,27.0
264,2.0,13.443539580835349,3.0,False,False,True,0,0,0,135.0
265,1.0,13.360056702062357,1.0,False,False,True,0,1,0,75.0
266,1.0,13.359314307089296,1.0,False,False,True,0,0,1,45.0
267,1.0,13.423202320745025,1.0,False,False,True,0,1,1,30.0
268,1.0,13.457055134377155,1.0,False,False,True,0,0,1,50.0
269,1.0,13.317764598757307,1.0,True,False,True,0,0,1,30.0
270,1.0,13.342574139429589,2.0,False,False,True,0,0,0,55.0
271,1.0,13.368858592930694,1.0,False,False,True,0,0,1,28.0
272,1.0,13.43237840716896,1.0,False,False,True,0,0,0,59.0
273,1.0,13.441882467124564,2.0,False,False,True,0,0,0,65.0
274,1.0,13.356577536640337,1.0,False,False,True,0,0,1,12.0
275,2.0,13.393499121652649,1.0,True,False,True,0,0,1,60.0
276,1.0,13.439298918286982,1.0,False,False,True,0,0,0,60.0
277,3.0,13.318015688762607,2.0,False,False,True,0,0,1,65.0
278,1.0,13.320236742654732,1.0,True,False,True,0,1,1,40.0
279,1.0,13.349512605226558,2.0,True,False,True,0,0,0,110.0
280,1.0,13.45267217351265,1.0,False,False,True,0,0,0,35.0
281,2.0,13.376546527765695,1.0,False,False,True,0,0,1,59.0
282,1.0,13.44394846825698,1.0,False,False,True,0,0,0,76.0
283,1.0,13.381457678716533,1.0,False,False,True,0,0,1,23.0
284,2.0,13.308363084779275,1.0,False,False,True,0,0,1,20.0
285,2.0,13.389049346842912,1.0,False,False,True,0,0,1,80.0
286,1.0,13.340987725535935,1.0,True,True,True,0,0,1,25.0
287,2.0,13.434908434181215,1.0,False,False,True,0,0,1,25.0
288,1.0,13.445277455563685,1.0,True,False,True,0,0,1,35.0
289,1.0,13.415745345714345,1.0,False,False,True,0,0,1,28.0
290,1.0,13.366303085789378,1.0,False,False,True,0,0,1,35.0
291,2.0,13.303175244520464,3.0,False,False,False,0,0,0,98.0
292,1.0,13.316893337222881,2.0,False,False,True,0,0,0,60.0
293,1.0,13.401047928288989,1.0,False,False,True,0,0,1,16.0
294,1.0,13.381584175503912,1.0,False,False,True,0,0,1,29.0
295,1.0,13.404327364161226,2.0,False,False,True,0,0,0,80.0
296,3.0,13.43040120638182,1.0,False,False,True,1,0,1,58.0
297,2.0,13.42135968679877,1.0,False,False,True,0,0,1,35.0
298,3.0,13.434323887803234,1.0,False,True,True,0,0,1,27.0
299,1.0,13.360715081116547,1.0,False,False,True,0,0,1,25.0
300,2.0,13.576499604619752,1.0,False,True,True,0,0,1,25.0
301,1.0,13.436869427969999,1.0,False,False,True,0,0,1,29.0
302,1.0,13.418645554703765,4.0,False,False,True,0,0,0,89.0
303,1.0,13.421615461669877,1.0,False,False,True,0,0,0,70.0
304,1.0,13.331238366206772,1.0,False,False,True,0,0,0,80.0
305,1.0,13.329588512669046,2.0,False,False,True,0,0,1,70.0
306,1.0,13.399162427855662,1.0,False,True,True,0,0,1,45.0
307,12.0,13.437615280654892,4.0,True,True,True,0,0,0,320.0
308,1.0,13.420627553011773,1.0,False,False,True,0,1,0,55.0
309,1.0,13.400443899317686,2.0,False,False,True,0,0,0,60.0
